Geneid	B1P.sam	B2P.sam	B3P.sam	P1P.sam	P2P.sam	P3P.sam
PA4888	433	475	780	3819	5364	1580
PA4889	639	774	1244	2433	5836	1279
PA4890	1183	429	874	1469	1918	482
PA4891	44	24	30	112	209	78
PA4892	31	17	21	47	51	77
PA4893	108	50	68	173	174	103
PA4894	83	35	36	57	208	56
PA4895	324	29	95	45	77	30
PA4896	808	136	155	40	39	9
PA4897	974	325	445	435	508	224
PA4898	170	59	97	67	69	42
PA4899	2528	867	1061	251	249	145
PA4900	1661	723	1149	51	153	40
PA4901	269	140	169	94	130	104
PA4902	172	62	85	198	123	116
PA4903	293	193	176	41	92	25
PA4904	162	96	120	112	92	75
PA4905	95	45	46	65	76	39
PA4906	506	267	398	549	673	428
PA4907	951	736	877	2251	1894	971
PA4908	166	64	110	37	41	16
PA4909	249	101	145	163	87	94
PA4910	239	132	144	85	84	59
PA4911	201	119	156	47	51	21
