Geneid	B1P.sam	B2P.sam	B3P.sam	P1P.sam	P2P.sam	P3P.sam
PA4254	694	486	831	8557	7074	9724
PA4255	764	394	661	6737	6421	6859
PA4256	3655	2611	4023	38967	36931	35129
PA4257	2990	3302	3553	54127	31141	48049
PA4258	3538	2787	3937	28934	31697	23382
PA4259	1635	2234	1976	28207	23981	31594
PA4260	3091	2872	2988	68425	23167	43097
PA4261	665	430	563	8950	3790	13976
PA4262	5919	3690	4962	108264	31982	68902
PA4263	4630	4156	3639	52601	18863	42332
PA4264	4654	3665	3669	20243	9625	20987
PA4265	16574	16025	17268	282436	169611	142209
PA4266	12432	9150	12597	205319	101640	156418
PA4267	5886	3956	4195	55671	25124	39299
PA4268	4248	3355	3235	36722	13411	24229
PA4269	20577	12199	18994	126611	123665	98918
PA4270	17239	10583	14110	101039	80611	73656
PA4270.1	491	431	371	2253	1524	3141
PA4271	3679	3517	5260	55268	53567	45005
PA4272	6789	4828	7663	112321	73973	66057
PA4272.1	1581	1245	2101	16154	17796	11918
PA4273	6243	4032	5749	80923	50444	50855
PA4274	6411	4848	5936	31835	34436	31066
PA4275	11536	5279	6575	18526	25859	11605
PA4276	8779	2538	4193	11905	10390	10516
PA4276.1	436	164	294	1213	924	694
PA4277	12605	9727	11445	200912	104791	98911
PA4277.1	753	219	372	340	715	297
PA4277.2	221	226	229	67	54	63
PA4277.3	607	390	400	331	418	400
PA4278	1066	336	724	1476	1810	985
PA4279	718	248	449	1418	1873	739
PA4280	1001	354	571	2255	2508	1185
PA4280.1	46	56	70	2157	451	2288
PA4280.2	27692	115119	47448	247143	29865	1770027
PA4280.3	62	24	39	56	75	60
PA4280.4	319	205	198	1155	937	1081
PA4280.5	6586	38528	41879	525251	19859	1631734
PA4281	760	352	607	1310	1463	766
PA4282	1415	666	1098	2172	3172	1513
PA4283	886	340	711	1567	2300	990
PA4284	1650	634	1134	3652	4616	2139
PA4285	1720	683	1280	4210	5129	2034
PA4286	832	344	524	806	1630	732
PA4287	99	50	106	174	150	69
PA4288	699	257	411	322	223	154
PA4289	622	339	438	294	262	134
PA4290	1210	1972	2420	1629	1259	695
PA4291	1299	624	1020	1216	982	631
PA4292	1402	932	1098	6380	4334	2097
PA4293	733	400	643	207	328	127
PA4294	402	228	353	34	23	17
PA4295	66	45	62	16	10	9
PA4296	1764	1318	1535	163	195	191
PA4297	1061	547	794	346	405	195
PA4298	14	1	4	1	2	5
PA4299	92	29	71	31	28	21
PA4300	87	55	65	49	33	28
PA4301	88	21	84	30	60	21
PA4302	145	69	103	98	56	54
PA4303	200	63	165	148	102	160
PA4304	267	97	181	77	114	55
PA4305	517	301	420	112	123	74
PA4306	2309	1950	2216	60	60	42
PA4307	656	376	484	1210	683	744
PA4308	2260	967	1366	1907	2546	1039
PA4309	321	250	287	469	387	297
PA4310	544	349	445	832	740	526
PA4311	5452	2234	4044	513	708	253
PA4312	1333	730	1136	409	787	276
PA4313	790	300	525	757	1068	424
PA4313a	423	194	322	283	435	189
PA4314	1465	681	892	5863	4246	3225
PA4315	1764	1991	1597	8401	3528	5196
PA4316	2156	1114	1424	2585	2938	1550
PA4317	1646	716	1214	3895	4066	904
PA4318	677	425	579	1200	1611	340
PA4319	268	86	183	676	985	237
PA4320	793	389	562	2581	2499	1291
PA4321	387	195	299	1456	2043	696
PA4322	601	296	475	2268	2730	1099
PA4323	757	214	471	1478	1613	592
PA4324	533	230	297	521	727	257
PA4325	2985	1566	1896	432	680	193
PA4326	195	68	97	98	123	58
PA4327	123	116	106	258	298	186
PA4328	705	305	415	4587	5255	2272
PA4329	3051	1623	2138	12478	15932	7021
PA4330	660	196	373	618	690	446
PA4331	169	107	127	273	240	164
PA4332	299	129	168	470	437	273
PA4333	1771	1067	1569	11831	7275	5608
PA4334	669	309	375	650	776	240
PA4335	291	146	190	757	445	524
PA4336	408	313	441	1183	1550	622
PA4337	323	137	272	151	212	90
PA4338	946	606	832	688	464	327
PA4339	502	230	420	728	911	376
PA4340	451	241	295	944	592	331
PA4341	266	102	183	144	164	76
PA4342	351	161	211	208	270	138
PA4343	72	57	75	63	59	43
PA4344	965	457	762	358	489	236
PA4345	3759	1410	2687	683	1447	426
PA4346	180	110	121	94	254	56
PA4347	1479	622	918	2382	3741	926
PA4348	780	113	319	9740	12653	4997
PA4349	536	281	419	439	785	486
PA4350	541	185	343	1207	1798	650
PA4351	2324	725	1395	2099	7616	2043
PA4352	7944	2312	4275	21512	39741	15139
PA4353	446	175	247	464	666	257
PA4354	109	62	70	336	234	141
PA4355	84	49	32	218	178	132
PA4356	895	176	349	2307	1878	1197
PA4357	289	40	61	210	342	132
PA4358	2019	416	594	3033	2806	1345
PA4359	403	82	112	347	372	136
PA4360a	106	48	93	31	83	29
PA4361	860	487	608	905	1172	522
PA4362	1441	525	855	212	320	154
PA4363	302	106	165	222	353	168
PA4364	53	15	30	34	59	10
PA4365	57	38	31	51	48	64
PA4366	9952	13334	13813	36755	37761	17803
PA4367	1098	608	831	2113	2095	1115
PA4368	478	231	363	792	820	451
PA4369	242	164	184	371	341	251
PA4370	3685	2813	3127	8394	4274	4831
PA4371	1435	576	736	800	473	297
PA4372	1176	360	551	2297	1254	1227
PA4373	1303	508	797	2919	1552	1121
PA4374	687	237	346	1609	1226	628
PA4375	884	385	528	1599	2062	727
PA4376	1278	542	887	1487	1400	564
PA4377	4363	3119	4649	304	782	123
PA4378	510	298	345	986	710	529
PA4379	994	529	589	506	764	407
PA4380	584	166	347	934	962	419
PA4381	828	457	538	999	924	388
PA4382	589	217	448	338	456	185
PA4383	595	302	434	399	608	126
PA4384	1330	819	1311	260	301	117
PA4385	63104	20791	29461	258813	128884	198338
PA4386	13543	4122	7130	36903	16787	29419
PA4387	11375	2299	4125	883	522	617
PA4388	1992	761	1321	1567	2031	895
PA4389	1944	661	992	4144	3167	2550
PA4390	656	315	541	1501	1019	732
PA4391	296	112	189	636	625	343
PA4392	495	185	283	165	330	122
PA4393	1490	558	849	1515	1714	537
PA4394	3044	1845	2702	3009	4661	1346
PA4395	1425	725	982	6525	3439	4927
PA4396	585	171	281	590	748	199
PA4397	429	211	330	229	223	100
PA4398	1020	435	717	1230	1313	510
PA4399	886	303	574	878	1230	380
PA4400	1412	589	1075	2440	3118	1306
PA4401	1398	600	1031	1302	1728	802
PA4402	3052	1036	1664	4252	3976	2195
PA4403	17968	7937	12272	33775	43237	17544
PA4404	1193	441	582	2444	3034	791
PA4405	1175	453	712	728	621	336
PA4406	18389	7103	10870	22541	17251	9311
PA4406.1	70	57	63	101	159	157
PA4407	11954	4276	8594	26721	27878	15161
PA4408	3793	1475	2527	14007	14051	6492
PA4409	1895	626	1052	3325	4252	1849
PA4410	2541	764	1578	5682	7140	2783
PA4411	3095	1185	1835	13078	10584	5895
PA4412	1158	469	690	3268	3244	1440
PA4413	2236	786	1624	5581	6594	2002
PA4414	2026	964	1368	10203	7504	4635
PA4415	2087	865	1439	6002	6560	2553
PA4416	3770	1178	2302	6760	9018	4059
PA4417	3933	1244	2365	8190	10244	4134
PA4418	3116	1359	2129	10778	12933	5113
PA4419	278	70	222	854	698	385
PA4420	2336	712	1438	4280	6419	2763
PA4421	2817	1131	1851	8978	9439	6825
PA4421.1	7207243	8046909	7473555	1442615	2190455	573853
PA4422	997	352	514	1083	1216	573
PA4423	3818	2411	3286	4664	4920	2237
PA4424	761	216	403	539	419	376
PA4425	1925	1181	1622	4314	3573	1775
PA4426	2249	1214	1999	3900	3966	1491
PA4427	829	442	650	3009	2758	2019
PA4428	1160	406	767	2880	3386	1356
PA4429	3849	2365	2994	19036	13348	11743
PA4430	4247	2959	3583	34744	17906	18271
PA4431	6403	2819	4333	17613	18335	11578
PA4432	6620	2800	3874	32590	18953	18820
PA4433	7253	3783	4113	42995	27789	29697
PA4434	2184	1026	1554	2396	3273	1028
PA4435	956	465	650	734	954	470
PA4436	482	203	354	751	536	247
PA4437	217	70	142	233	202	119
PA4438	715	283	349	4418	3932	1543
PA4439	1731	694	1177	6950	5972	3235
PA4440	1188	412	760	1520	1709	850
PA4441	2340	1789	2174	5732	6420	3048
PA4442	1368	821	1319	9780	7701	7469
PA4443	566	364	492	2747	1344	1495
PA4444	1798	1571	1992	1638	2236	786
PA4445	733	351	532	1125	1173	425
PA4446	1191	649	693	2400	2141	953
PA4447	1575	570	950	3153	3174	1431
