Geneid	B1K.sam	B2K.sam	B3K.sam	P1K.sam	P2K.sam	P3K.sam
PA0545	427	838	565	3708	3638	2259
PA0546	7328	22380	8065	12967	22197	21409
PA0547	4661	13045	4406	2793	5780	5542
PA0548	5772	7234	2510	11900	24315	22589
PA0549	401	553	160	1153	2298	2057
PA0550	510	655	325	732	1215	1083
PA0551	1506	1740	473	2555	3253	3474
PA0552	2282	3276	1285	5886	9257	8729
PA0553	694	1116	354	612	1009	987
PA0554	1153	1147	621	651	1504	1434
PA0555	5097	6975	2107	13437	15433	13872
PA0556	236	408	138	480	992	850
PA0557	446	539	147	231	368	248
PA0558	3183	5526	1488	1000	1215	794
PA0559	1061	1579	550	600	1146	1214
PA0560	561	595	213	643	583	292
PA0561	299	337	176	783	600	458
PA0562	583	817	256	870	1056	854
PA0563	779	562	282	4828	4581	4157
PA0564	250	342	110	370	477	398
PA0565	876	2535	1294	169	150	181
PA0566	964	3040	570	639	608	590
PA0567	388	1190	417	304	260	205
PA0568	320	499	150	397	533	589
PA0569	110	126	46	264	317	329
PA0570	83	120	22	126	238	195
PA0571	323	387	115	810	805	876
PA0572	1021	1019	278	1785	1943	2166
PA0573	136	147	90	232	240	201
PA0574	233	349	168	1449	902	771
PA0574.1	5	4	12	2	14	4
PA0575	1714	2290	805	723	795	669
PA0576	19076	23573	12294	28561	43472	39187
PA0577	3095	3212	1589	6676	7144	5796
PA0578	593	978	301	1494	2730	2083
PA0579	2610	1619	1027	4872	2796	2275
PA0580	853	1142	356	1167	2680	2621
PA0581	854	1153	463	877	1207	1129
PA0582	83	97	100	124	227	268
PA0583	237	329	85	333	628	505
PA0584	914	1378	507	945	1387	1202
PA0585	525	532	137	132	122	125
PA0586	4844	5425	1773	681	562	444
PA0587	4969	5086	1569	639	636	511
PA0588	23940	21523	7229	2331	2178	1702
PA0589	473	620	223	609	708	448
PA0590	1065	1844	603	2243	2378	1830
PA0591	366	480	165	851	588	424
PA0592	798	970	433	1450	1800	1353
PA0593	1944	2289	1198	2787	4314	3054
PA0594	3688	5401	2079	8218	11133	9790
PA0595	11550	13771	5994	21330	24691	22062
PA0596	1148	1822	1468	3080	4768	3796
PA0597	214	436	126	557	900	835
PA0598	771	1069	309	1173	1683	1502
PA0599	1184	1517	484	1264	1332	1187
PA0600	1091	1590	687	1336	1668	1763
