Geneid	B1N.sam	B2N.sam	B3N.sam	P1N.sam	P2N.sam	P3N.sam
PA0754	1719	1404	2274	167	107	115
PA0755	1191	578	1405	55	65	48
PA0756	250	306	463	385	337	295
PA0757	525	963	796	767	1037	704
PA0758	1582	1414	2291	1209	999	1167
PA0759	626	1609	1419	2697	2635	2383
PA0760	280	509	436	750	886	728
PA0761	2894	3433	4807	4215	4276	4120
PA0762	11219	8143	26976	3740	4442	3088
PA0763	8123	8926	18334	4306	5143	3939
PA0764	2288	3814	6176	3202	3933	2835
PA0765	903	2381	2167	1557	2473	1680
PA0766	5528	5544	11454	9015	7690	9396
PA0767	3871	2870	4847	8921	9756	9198
PA0768	2281	2260	3288	5153	5148	4407
PA0769	660	354	955	598	677	609
PA0770	919	929	1679	1839	2249	1729
PA0771	1072	867	1677	2615	3123	2505
PA0772	122	222	235	301	448	153
PA0773	718	1140	1450	1525	1986	1805
PA0774	156	258	277	1182	1076	1185
PA0775	277	280	385	1822	1466	1878
PA0776	114	93	156	116	94	56
PA0777	616	755	825	796	823	486
PA0778	607	742	766	598	571	605
PA0779	39555	25394	37938	12218	10577	19222
PA0780	1908	3286	2873	827	866	890
PA0781	183	323	254	173	223	186
PA0782	64381	51791	98397	46591	53829	70969
PA0783	32988	23967	44760	13357	9334	13802
PA0784	1878	2873	3082	1196	1331	1148
PA0785	62	53	77	85	55	80
PA0786	13	9	16	25	11	12
PA0787	240	466	500	615	657	562
PA0788	1315	1417	2035	593	654	573
PA0788a	180	346	324	192	161	167
PA0789	799	717	1315	5361	3147	3943
PA0790	79	159	157	183	251	169
PA0791	230	253	296	209	200	229
PA0792	1331	1253	1493	530	490	503
PA0793	746	797	1050	582	651	577
PA0794	2706	2489	3633	2416	2408	2319
PA0795	3924	2791	5240	2193	1924	1888
PA0796	2779	1584	3255	1709	1664	1463
PA0797	694	816	1008	510	655	424
PA0798	515	537	969	109	171	121
PA0799	739	933	1320	1593	1565	1413
PA0800	57	77	85	73	53	81
PA0801	1267	1308	1956	578	352	348
PA0802	37	41	53	114	57	74
PA0803	304	503	528	162	142	117
PA0804	1135	971	1925	308	346	333
PA0805	2452	2257	3729	2649	1266	1071
PA0806	78	402	118	127	193	117
PA0807	11161	13870	16359	1356	1731	1119
PA0808	929	1064	1297	172	239	183
PA0809	1500	1906	2326	291	517	297
PA0810	1359	1758	1968	324	409	344
PA0811	2156	3084	3188	329	694	428
PA0812	1672	1993	2286	232	464	264
PA0813	842	1410	1314	173	355	185
PA0814	158	314	343	25	65	25
PA0815	1037	1253	1604	617	454	528
PA0816	432	745	740	516	447	485
PA0817	308	585	454	216	170	215
PA0818	104	128	213	76	64	77
PA0819	204	159	224	53	72	62
PA0820	1180	1071	1261	1123	637	690
PA0821	779	683	848	577	472	394
PA0823	123	141	182	81	77	74
PA0824	173	310	263	136	189	199
PA0825	112	156	184	40	70	33
PA0826	137	115	155	98	26	14
PA0826.2	1363867	4068132	2360714	930167	844291	800082
